Województwo,Rok,Stwierdzone,Wykryte,procent_wykrycia
dolnoœl¹skie,2017,51982,28785,54
dolnoœl¹skie,2016,55211,28981,51
dolnoœl¹skie,2015,57976,29768,50
dolnoœl¹skie,2014,61386,32217,51
dolnoœl¹skie,2013,80878,47476,57
dolnoœl¹skie,2012,83972,49362,57
dolnoœl¹skie,2011,83504,49743,58
dolnoœl¹skie,2010,81788,47083,56
dolnoœl¹skie,2009,77967,44732,56
dolnoœl¹skie,2008,74271,42322,55
dolnoœl¹skie,2007,81241,46197,55
dolnoœl¹skie,2006,83929,46288,54
dolnoœl¹skie,2005,89730,47814,52
dolnoœl¹skie,2004,98687,52105,51
dolnoœl¹skie,2003,98184,50313,50
dolnoœl¹skie,2002,93068,46496,49
dolnoœl¹skie,2001,95976,47060,48
dolnoœl¹skie,2000,108699,55059,50
dolnoœl¹skie,1999,95062,45565,47
kujawsko-pomorskie,2017,22505,14306,63
kujawsko-pomorskie,2016,23732,13805,57
kujawsko-pomorskie,2015,25442,13935,53
kujawsko-pomorskie,2014,28668,16659,56
kujawsko-pomorskie,2013,34525,19081,53
kujawsko-pomorskie,2012,39679,22616,56
kujawsko-pomorskie,2011,38488,22155,56
kujawsko-pomorskie,2010,37597,19720,51
kujawsko-pomorskie,2009,36815,18508,49
kujawsko-pomorskie,2008,37698,19836,51
kujawsko-pomorskie,2007,39629,19635,48
kujawsko-pomorskie,2006,45454,21631,47
kujawsko-pomorskie,2005,51481,23614,45
kujawsko-pomorskie,2004,59829,26911,44
kujawsko-pomorskie,2003,61056,27063,43
kujawsko-pomorskie,2002,57025,26061,45
kujawsko-pomorskie,2001,59088,27650,46
kujawsko-pomorskie,2000,60048,27839,45
kujawsko-pomorskie,1999,59604,27118,45
lubelskie,2017,18716,13163,69
lubelskie,2016,18583,11706,62
lubelskie,2015,20248,12303,59
lubelskie,2014,23515,14808,61
lubelskie,2013,28891,17228,58
lubelskie,2012,31798,19850,61
lubelskie,2011,32307,19924,60
lubelskie,2010,30463,18197,58
lubelskie,2009,31104,17377,55
lubelskie,2008,31963,17764,54
lubelskie,2007,34050,18882,54
lubelskie,2006,36711,19499,52
lubelskie,2005,39893,20145,49
lubelskie,2004,43130,21409,48
lubelskie,2003,42511,21277,49
lubelskie,2002,42802,21847,50
lubelskie,2001,44762,25048,54
lubelskie,2000,47071,26983,56
lubelskie,1999,45863,23799,51
lubuskie,2017,14752,9404,63
lubuskie,2016,15426,9345,60
lubuskie,2015,16441,9724,58
lubuskie,2014,18615,11077,58
lubuskie,2013,25082,15620,61
lubuskie,2012,25539,16670,64
lubuskie,2011,25236,16628,65
lubuskie,2010,24454,15684,63
lubuskie,2009,22182,13862,61
lubuskie,2008,22323,13917,61
lubuskie,2007,23952,14972,61
lubuskie,2006,24840,14293,56
lubuskie,2005,26141,15118,56
lubuskie,2004,28910,16206,55
lubuskie,2003,30500,16881,54
lubuskie,2002,30616,17427,56
lubuskie,2001,31919,17119,53
lubuskie,2000,35534,18127,50
lubuskie,1999,33246,17831,53
³ódzkie,2017,27923,14937,52
³ódzkie,2016,30805,15441,49
³ódzkie,2015,32788,15408,45
³ódzkie,2014,37008,17705,46
³ódzkie,2013,47815,25253,51
³ódzkie,2012,49289,25261,50
³ódzkie,2011,50782,27174,52
³ódzkie,2010,50027,25546,50
³ódzkie,2009,49457,26262,51
³ódzkie,2008,50304,26005,50
³ódzkie,2007,53738,23813,43
³ódzkie,2006,58465,23601,39
³ódzkie,2005,66976,23221,34
³ódzkie,2004,72745,23304,31
³ódzkie,2003,73443,23445,31
³ódzkie,2002,70555,22941,32
³ódzkie,2001,68916,22463,32
³ódzkie,2000,72067,22814,31
³ódzkie,1999,60954,20597,33
ma³opolskie,2017,43978,29649,67
ma³opolskie,2016,44407,27458,61
ma³opolskie,2015,45155,25271,55
ma³opolskie,2014,51429,27449,52
ma³opolskie,2013,62677,33538,52
ma³opolskie,2012,72561,43555,59
ma³opolskie,2011,72693,43236,58
ma³opolskie,2010,68200,37844,54
ma³opolskie,2009,62488,32346,51
ma³opolskie,2008,59630,29452,48
ma³opolskie,2007,64116,29179,45
ma³opolskie,2006,79334,37339,46
ma³opolskie,2005,89200,37165,41
ma³opolskie,2004,98313,39229,39
ma³opolskie,2003,93690,33446,35
ma³opolskie,2002,86681,32296,37
ma³opolskie,2001,86805,34408,39
ma³opolskie,2000,83934,31089,36
ma³opolskie,1999,71885,24216,33
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2017,71012,35280,49
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2016,71661,33037,43
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2015,78864,33072,41
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2014,86234,37742,43
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2013,99149,46718,46
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2012,103381,50378,47
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2011,102858,50247,48
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2010,102076,48635,47
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2009,103680,46634,44
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2008,98446,44282,44
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2007,110383,49921,44
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2006,134075,55818,41
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2005,154735,55189,35
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2004,164793,54724,32
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2003,167130,54338,32
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2002,164124,53609,32
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2001,167974,53845,31
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2000,171599,52755,30
mazowieckie (KWP z/s w Radomiu i KSP Warszawa),1999,163114,45465,27
opolskie,2017,11806,7508,62
opolskie,2016,12754,7423,57
opolskie,2015,13553,7691,55
opolskie,2014,15480,8932,56
opolskie,2013,18225,10406,55
opolskie,2012,19588,11508,58
opolskie,2011,19433,11769,59
opolskie,2010,19436,12492,59
opolskie,2009,18582,11173,59
opolskie,2008,18875,11145,58
opolskie,2007,21181,12579,58
opolskie,2006,21677,11966,54
opolskie,2005,23128,12391,53
opolskie,2004,24256,13172,54
opolskie,2003,25371,13425,52
opolskie,2002,24962,13126,52
opolskie,2001,24683,12684,51
opolskie,2000,26552,14400,53
opolskie,1999,24850,12510,50
podkarpackie,2017,13487,8575,63
podkarpackie,2016,14552,8556,58
podkarpackie,2015,15375,8890,57
podkarpackie,2014,17984,10593,57
podkarpackie,2013,22943,13855,59
podkarpackie,2012,24456,14541,58
podkarpackie,2011,24138,14567,59
podkarpackie,2010,23139,13928,59
podkarpackie,2009,23852,13709,56
podkarpackie,2008,22609,12786,55
podkarpackie,2007,23698,13747,57
podkarpackie,2006,24882,13685,54
podkarpackie,2005,27790,15062,53
podkarpackie,2004,28190,15276,53
podkarpackie,2003,28891,15885,54
podkarpackie,2002,29346,16539,55
podkarpackie,2001,29916,16289,53
podkarpackie,2000,30010,16665,54
podkarpackie,1999,27356,14780,53
podlaskie,2017,9722,5976,60
podlaskie,2016,10940,6588,59
podlaskie,2015,10811,5679,51
podlaskie,2014,12410,6783,53
podlaskie,2013,14084,7819,54
podlaskie,2012,16014,9120,55
podlaskie,2011,16387,9319,55
podlaskie,2010,15306,8193,52
podlaskie,2009,16086,8503,52
podlaskie,2008,15861,8526,52
podlaskie,2007,16932,9145,53
podlaskie,2006,17424,9361,52
podlaskie,2005,20533,10600,50
podlaskie,2004,24410,12744,51
podlaskie,2003,25727,12916,49
podlaskie,2002,23732,12592,52
podlaskie,2001,24666,13267,53
podlaskie,2000,29014,14509,49
podlaskie,1999,26646,11875,44
pomorskie,2017,28963,15913,54
pomorskie,2016,31431,16336,51
pomorskie,2015,33672,16091,47
pomorskie,2014,38393,20179,51
pomorskie,2013,44408,22198,49
pomorskie,2012,46425,23391,49
pomorskie,2011,48598,24390,49
pomorskie,2010,53486,31267,57
pomorskie,2009,53998,29665,54
pomorskie,2008,48568,22627,46
pomorskie,2007,49857,23299,46
pomorskie,2006,60327,26928,44
pomorskie,2005,68663,27106,39
pomorskie,2004,79038,31181,39
pomorskie,2003,82687,31373,37
pomorskie,2002,89822,40225,44
pomorskie,2001,95621,45198,47
pomorskie,2000,92449,40301,43
pomorskie,1999,74913,26559,35
œl¹skie,2017,63443,42581,65
œl¹skie,2016,65357,38402,57
œl¹skie,2015,72213,40034,54
œl¹skie,2014,83362,46527,54
œl¹skie,2013,109250,61877,55
œl¹skie,2012,118852,67650,55
œl¹skie,2011,123660,66152,52
œl¹skie,2010,120831,62370,50
œl¹skie,2009,117557,58279,48
œl¹skie,2008,113914,55569,47
œl¹skie,2007,124700,59143,46
œl¹skie,2006,137133,59658,42
œl¹skie,2005,151335,62842,40
œl¹skie,2004,161178,60562,37
œl¹skie,2003,159795,57696,35
œl¹skie,2002,153170,55791,36
œl¹skie,2001,150095,59334,39
œl¹skie,2000,148704,61215,40
œl¹skie,1999,128748,51097,39
œwiêtokrzyskie,2017,11306,7776,68
œwiêtokrzyskie,2016,11266,7215,63
œwiêtokrzyskie,2015,12299,7283,58
œwiêtokrzyskie,2014,14709,8450,56
œwiêtokrzyskie,2013,16241,9658,58
œwiêtokrzyskie,2012,17327,11038,62
œwiêtokrzyskie,2011,17453,11177,63
œwiêtokrzyskie,2010,17953,11304,62
œwiêtokrzyskie,2009,18725,11751,62
œwiêtokrzyskie,2008,17599,10264,57
œwiêtokrzyskie,2007,22620,14215,62
œwiêtokrzyskie,2006,23639,13145,55
œwiêtokrzyskie,2005,25058,12857,50
œwiêtokrzyskie,2004,26911,13491,49
œwiêtokrzyskie,2003,27907,14454,51
œwiêtokrzyskie,2002,25866,12811,49
œwiêtokrzyskie,2001,25787,12778,49
œwiêtokrzyskie,2000,27759,15223,54
œwiêtokrzyskie,1999,26262,14610,55
warmiñsko-mazurskie,2017,15757,9820,61
warmiñsko-mazurskie,2016,18090,10466,57
warmiñsko-mazurskie,2015,18899,10874,55
warmiñsko-mazurskie,2014,20818,12438,58
warmiñsko-mazurskie,2013,23731,14169,58
warmiñsko-mazurskie,2012,26431,16956,62
warmiñsko-mazurskie,2011,26618,16682,61
warmiñsko-mazurskie,2010,26275,16349,61
warmiñsko-mazurskie,2009,25482,15285,59
warmiñsko-mazurskie,2008,25256,15730,61
warmiñsko-mazurskie,2007,27183,17233,62
warmiñsko-mazurskie,2006,31198,18978,59
warmiñsko-mazurskie,2005,33692,19775,57
warmiñsko-mazurskie,2004,38256,21200,54
warmiñsko-mazurskie,2003,39478,22584,56
warmiñsko-mazurskie,2002,42738,25067,58
warmiñsko-mazurskie,2001,44284,23642,52
warmiñsko-mazurskie,2000,44236,21720,48
warmiñsko-mazurskie,1999,41820,18585,44
wielkopolskie,2017,34616,21815,62
wielkopolskie,2016,38234,22664,58
wielkopolskie,2015,42961,24879,57
wielkopolskie,2014,48974,29515,59
wielkopolskie,2013,62974,40072,62
wielkopolskie,2012,64477,42058,64
wielkopolskie,2011,68017,44282,64
wielkopolskie,2010,66201,41801,62
wielkopolskie,2009,66610,41810,62
wielkopolskie,2008,61851,37232,59
wielkopolskie,2007,62072,34694,55
wielkopolskie,2006,70638,37529,52
wielkopolskie,2005,80653,42384,51
wielkopolskie,2004,82742,40038,47
wielkopolskie,2003,89249,41697,46
wielkopolskie,2002,89113,41776,46
wielkopolskie,2001,89324,38857,43
wielkopolskie,2000,89482,36139,40
wielkopolskie,1999,76360,32223,41
zachodniopomorskie,2017,23939,15560,64
zachodniopomorskie,2016,24929,15277,60
zachodniopomorskie,2015,25849,14561,55
zachodniopomorskie,2014,30162,16773,54
zachodniopomorskie,2013,36845,21937,58
zachodniopomorskie,2012,41551,25506,60
zachodniopomorskie,2011,43930,27008,60
zachodniopomorskie,2010,41673,24786,58
zachodniopomorskie,2009,39012,21508,54
zachodniopomorskie,2008,36050,19061,51
zachodniopomorskie,2007,38965,19970,50
zachodniopomorskie,2006,43663,20559,46
zachodniopomorskie,2005,51088,22898,43
zachodniopomorskie,2004,53907,21847,39
zachodniopomorskie,2003,55768,22594,39
zachodniopomorskie,2002,60234,26340,42
zachodniopomorskie,2001,67257,29031,42
zachodniopomorskie,2000,66004,28788,43
zachodniopomorskie,1999,63971,27327,42
